power,run_time,nodes_used,processors_used,wallclock_used,cpu_used,mem_used,app_name
0.0,12529.0,8,192,12529,39454,0,matlab
0.0,129834.0,4,96,43434,60733,0,vasp
243.86908358509567,6684.0,3,72,6684,66336,5242880,python
576.2085996513655,17294.0,1,1,17294,18957,0,mono
210.7651515151515,1338.0,1,24,1338,26793,0,vasp
152.84533551554827,12236.0,3,48,12236,65548,7340032,vasp
195.00746083577894,243184.0,2,48,70384,6257,5242880,amber
0.0,10804.0,1,1,10804,3687,0,vasp
649.0,1962.0,1,16,1962,2,0,vasp
0.0,0.0,16,16,0,0,0,WindPlantSolver
244.12698412698413,3786.0,4,96,3786,14308,0,vasp
173.8490566037736,538.0,1,24,538,8131,0,vasp
240.65051258154708,21673.0,1,24,21673,83910,0,vasp
0.0,91709.0,1,16,5309,7787,0,vasp
